ID,Category,Priority for now,Data checklist questions,Answer,Explanation
8a-8,Standards,3. desirable,ISO 14721 - Open Archival Information System (OAIS) Reference Model,yes,
8a-9,Standards,3. desirable,ISO 15489 - Information and documentation -- Records management,yes,
8a-10,Standards,3. desirable,ISO 27000 - Information security standards,yes,
8a-11,Standards,3. desirable,ISO 639-1 - Codes for the representation of names of languages (Parts 1-5),yes,
8a-12,Standards,3. desirable,ISO 15836/ANSI Z39.85 (NISOZ3985) - Dublin Core Metadata Element Set,yes,
8a-14,Standards,3. desirable,ISO/IEC 11179 - Information technology -- Metadata registries (MDR),yes,
9a-1,Confidential or sensitive information,1. essential,Are the data free of confidential information?,yes,
9a-2,Confidential or sensitive information,1. essential,Are the data free of sensitive information?,yes,
9a-3,Confidential or sensitive information,1. essential,Were measures taken to protect against disclosure or theft of the confidential information?,yes,
9a-4,Confidential or sensitive information,1. essential,Were measures taken to protect against disclosure or theft of the sensitive information?,yes,
9a-5,Confidential or sensitive information,3. desirable,Is a description of the measures taken to protect against disclosure or theft of confidential information available online?,yes,
9a-6,Confidential or sensitive information,3. desirable,Is a description of the measures taken to protect against disclosure or theft of sensitive information available online?,yes,
9a-7,Confidential or sensitive information,1. essential,"Have the data been de-identified by the ""safe harbor"" method?",yes,
9a-8,Confidential or sensitive information,2. valuable,Have the data been de-identified by a statistical method?,yes,
9a-9,Confidential or sensitive information,3. desirable,Have direct personal identifiers been removed and replaced by codes?,yes,
9a-10,Confidential or sensitive information,2. valuable,Are the data free of restrictions on their use?,yes,
9a-11,Confidential or sensitive information,2. valuable,Are the data managed without an embargo?,yes,
9a-12,Confidential or sensitive information,2. valuable,"If applicable, do the metadata contain information on subject consent?",yes,
9a-13,Confidential or sensitive information,2. valuable,"If applicable, do the metadata contain information on ethics reviews?",yes,
9a-14,Confidential or sensitive information,2. valuable,"If there are restrictions on the use of the data, are the reasons for these restrictions  explained in the metadata?",yes,
9a-15,Confidential or sensitive information,2. valuable,"If there are restrictions on the use of the data, do the metadata provide information on how to gain controlled access to the  data?",yes,
